unit	site	code	year	winter_site	BCMP_zone	lat	long	elevation	noise floor	noise floor (second measurement)	recorder_input_level	microphone_height	succession	sampling_began	sampling_ended	site_visits_inclusive	valid_SPL_data	valid_completeDay_SPL_range	SPLat_range	SPLat_centerdate	begin_nautical_twilight	begin_civil_twilight	sunrise	sunset	end_civil_twilight	end_nautical_twilight	SPLat_days	SPLatted_by	days_without_overflights	valid_audibility_data	audibility_range	audibility_days	listened_by	equipment_used	weather_data	north_equals	831_serial	preamp_serial	mic_serial	EDIROL_serial	weather_serial	ecoregion	notes
DENA	Seven Mile	7MIL	2001	1	LOW	63.716715	-149.074278	823						12/28/2001	01/07/2002	"12/28/01, 1/04/02, 1/7/02"	1	"12/29/2001 - 12/30/2001, 01/05/2002 - 01/06/2002"																									
DENA	Dunkle Hills	DUNK	2001	1	HIGH	63.28945	-149.45807	902						04/18/2001	08/12/2002	"4/18/01, 5/8/01, 5/13/01, 6/21/01, 7/5/01, 7/10/01, 8/30/01, 9/26/01, 11/28/01, 2/24/02, 3/8/02, 3/20/02, 3/27/02, 4/22/02, 5/7/02, 6/13/02, 8/12/02"	1	"05/14/2001 - 05/19/2001, 06/23/2001 - 06/27/2001, 07/06/2001 - 07/09/2001, 07/11/2001 - 08/17/2001, 08/19/2001 - 09/25/2001, 09/27/2001 - 10/02/2001, 10/04/2001 - 10/11/2001, 11/29/2001 - 12/01/2001, 02/25/2002 - 03/03/2002, 03/09/2002 - 03/19/2002, 03/21/2002 - 03/26/2002, 03/28/2002 - 04/05/2002, 04/08/2002 - 04/21/2002, 04/23/2002 - 05/06/2002, 05/08/2002 - 05/20/2002, 05/22/2002 - 05/25/2002, 05/27/2002 - 05/29/2002, 05/31/2002 - 06/02/2002, 06/14/2002 - 08/11/2002"																									
DENA	Savage River	SAVR	2001	0	ROAD	63.74113	-149.29087	785						07/26/2001	08/12/2001	"7/26/01, 7/31/01, 8/6/01, 8/12/01"	1	"08/01/2001 - 08/02/2001, 08/07/2001 - 08/11/2001"																									
DENA	Teklanika Gravel Pit	TEKP	2001	0	ROAD	63.69383	-149.56005	765						08/11/2001	09/05/2001	"8/11/01, 8/29/01, 9/5/01"	1	08/30/2001 - 09/04/2001																									
DENA	Toklat Spur Road	TOKL	2001	0	ROAD	63.5255	-150.04473	909							08/13/2001	"7/31/01, 8/6/01, 8/13/01"	1	08/01/2001 - 08/04/2001																									
DENA	Toe of the Tokositna	TOKO	2001	0	VERY HIGH	62.665	-150.78825	256						07/17/2001	09/18/2001	"7/17/01, 8/7/01, 8/27/01, 9/18/01"	1	"08/08/2001 - 08/26/2001, 08/28/2001 - 08/29/2001"										Davyd Betchkal															
DENA	Wonder Lake Water Tank	WOND	2001	0	ROAD	63.45296	-150.87435	668						08/13/2001	08/29/2001	"8/13/01, 8/29/01"	1	"08/14/2001 - 08/16/2001, 08/19/2001 - 08/21/2001"																									
YUCH	Charley River	CHRI	2001	0	na	64.8187	-143.4415	2102						07/16/2001	07/27/2001	"7/16/01, 7/27/01"																											
DENA	Kahiltna Base Camp	BASE	2002	0	MEDIUM	62.96977	-151.16712	2188						05/14/2002		"5/14/02, 5/18/02, 6/15/02, "	1	"05/15/2002 - 05/17/2002, 05/19/2002 - 05/23/2002"																									
DENA	Pika Glacier	PICA	2002	0	MEDIUM	62.69682	-151.1899	1758						06/28/2002	08/14/2002	"6/28/02, 7/19/02, 8/14/02"	0																										
