ALPHACODE,UNIT_NAME,RASTER
ALAG,Alagnak Wild River,AKR
ANIA,Aniakchak,AKR
BELA,Bering Land Bridge Npres,AKR
CAKR,Cape Krusenstern NM,AKR
DENA,Denali NP&Pres,AKR
GAAR,Gates of the Arctic NP&Pres,AKR
GLBA,Glacier Bay NP&Pres,AKR
KATM,Katmai NP&Pres,AKR
KEFJ,Kenai Fjords NP,AKR
KLGO,Klondike Gold Rush NHP,AKR
KOVA,Kobuk Valley NP,AKR
LACL,Lake Clark NP&Pres,AKR
NOAT,Noatak Npres,AKR
SITK,Sitka NHP,AKR
WRST,Wrangell-St Elias NP&Pres,AKR
YUCH,Yukon-Charley Rivers Npres,AKR
HALE,Haleakala NP,HI
HAVO,Hawaii Volcanoes NP,HI
KAHO,Kaloko-Honokohau NHP,HI
KALA,Kalaupapa NHP,HI
PUHE,Puukohola Heiau NHS,HI
PUHO,Pu'uhonua o Honaunau NHP,HI
ALFL,Alibates Flint Quarries NM,IMR
AMIS,Amistad National Recreation Area,IMR
ARCH,Arches NP,IMR
AZRU,Aztec Ruins NM,IMR
BAND,Bandelier NM,IMR
BEOL,Bent's Old Fort NHS,IMR
BIBE,Big Bend NP,IMR
BICA,Bighorn Canyon NRA,IMR
BITH,Big Thicket National Preserve,IMR
BLCA,Black Canyon of the Gunnison NP,IMR
BRCA,Bryce Canyon NP,IMR
CACH,Canyon de Chelly NM,IMR
CAGR,Casa Grande Ruins NM,IMR
CANY,Canyonlands NP,IMR
CARE,Capitol Reef NP,IMR
CAVE,Carlsbad Caverns NP,IMR
CAVO,Capulin Volcano NM,IMR
CEBR,Cedar Breaks NM,IMR
CHAM,Chamizal NMem,IMR
CHCU,Chaco Culture NHP,IMR
CHIC,Chickasaw NRA,IMR
CHIR,Chiricahua NM,IMR
COLM,Colorado NM,IMR
CORO,Coronado NMem,IMR
CURE,Curecanti NRA,IMR
DETO,Devils Tower NM,IMR
DINO,Dinosaur NM,IMR
ELMA,El Malpais NM,IMR
ELMO,El Morro NM,IMR
FLFO,Florissant Fossil Beds NM,IMR
FOBO,Fort Bowie NHS,IMR
FOBU,Fossil Butte NM,IMR
FODA,Fort Davis NHS,IMR
FOLA,Fort Laramie NHS,IMR
FOUN,Fort Union NM,IMR
GICL,Gila Cliff Dwellings NM,IMR
GLAC,Glacier NP,IMR
GLCA,Glen Canyon NRA,IMR
GOSP,Golden Spike NHS,IMR
GRCA,Grand Canyon NP,IMR
GRKO,Grant-Kohrs Ranch NHS,IMR
GRSA,Great Sand Dunes NM&Pres,IMR
GRTE,Grand Teton NP,IMR
GUMO,Guadalupe Mountains NP,IMR
HOVE,Hovenweep NM,IMR
HUTR,Hubbell Trading Post NHS,IMR
JODR,John D. Rockefeller Jr. Mem. Parkway,IMR
LAMR,Lake Meredith NRA,IMR
LIBI,Little Bighorn Battlefield NM,IMR
LYJO,Lyndon B. Johnson NHP,IMR
MEVE,Mesa Verde NP,IMR
MOCA,Montezuma Castle NM,IMR
NABR,Natural Bridges NM,IMR
NAVA,Navajo NM,IMR
ORPI,Organ Pipe Cactus NM,IMR
PAAL,Palo Alto Battlefield NHS,IMR
PAIS,Padre Island NS,IMR
PECO,Pecos NHP,IMR
PEFO,Petrified Forest NP,IMR
PETR,Petroglyph NM,IMR
PIMA,Hohokam Pima NM,IMR
PISP,Pipe Spring NM,IMR
RABR,Rainbow Bridge NM,IMR
RIGR,Rio Grande WSR,IMR
ROMO,Rocky Mountain NP,IMR
SAAN,San Antonio Missions NHP,IMR
SAGU,Saguaro NP,IMR
SAPU,Salinas Pueblo Missions NM,IMR
SUCR,Sunset Crater Volcano NM,IMR
TICA,Timpanogos Cave NM,IMR
TONT,Tonto NM,IMR
TUMA,Tumacacori NHP,IMR
TUZI,Tuzigoot NM,IMR
WABA,Washita Battlefield NHS,IMR
WACA,Walnut Canyon NM,IMR
WHSA,White Sands NM,IMR
WUPA,Wupatki NM,IMR
YELL,Yellowstone NP,IMR
ZION,Zion NP,IMR
AGFO,Agate Fossil Beds,MWR
APIS,Apostle Islands NL,MWR
ARPO,Arkansas Post NMem,MWR
BADL,Badlands NP,MWR
BRVB,Brown v. Board of Education NHS,MWR
BUFF,Buffalo National River,MWR
CUVA,Cuyahoga Valley NP,MWR
DAAV,Dayton Aviation Heritage NHP,MWR
EFMO,Effigy Mounds NM,MWR
FOLS,Fort Larned NHS,MWR
FOSC,Fort Scott NHS,MWR
FOSM,Fort Smith NHS,MWR
FOUS,Fort Union Trading Post NHS,MWR
GERO,George Rogers Clark NHP,MWR
GRPO,Grand Portage NM,MWR
GWCA,George Washington Carver NM,MWR
HEHO,Herbert Hoover NHS,MWR
HOCU,Hopewell Culture NHP,MWR
HOME,Homestead NM of America,MWR
HOSP,Hot Springs NP,MWR
HSTR,Harry S Truman NHS,MWR
IATR,Ice Age NST,MWR
INDU,Indiana Dunes National Lakeshore,MWR
ISRO,Isle Royale NP,MWR
JAGA,James A. Garfield NHS,MWR
JECA,Jewel Cave NM,MWR
JEFF,Jefferson National Expansion Memorial,MWR
KEWE,Keweenaw NHP,MWR
KNRI,Knife River Indian Villages NHS,MWR
LECL,Lewis & Clark NHT,MWR
LIBO,Lincoln Boyhood NMem,MWR
LIHO,Lincoln Home NHS,MWR
MIMI,Minuteman Missile NHS,MWR
MISS,Mississippi NRRA,MWR
MNRR,Missouri National Recreational River,MWR
MORU,Mount Rushmore Nmem,MWR
NICO,Nicodemus NHS,MWR
NIOB,Niobrara National Scenic River,MWR
OZAR,Ozark National Scenic Riverways,MWR
PERI,Pea Ridge NMP,MWR
PEVI,Perry's Victory & Internatl Peace Mem.,MWR
PIPE,Pipestone NM,MWR
PIRO,Pictured Rocks NL,MWR
SACN,Saint Croix/Lower St. Croix NSR,MWR
SCBL,Scotts Bluff National Monument,MWR
SLBE,Sleeping Bear Dunes NL,MWR
TAPR,Tallgrass Prairie NPres,MWR
THRO,Theodore Roosevelt NP,MWR
ULSG,Ulysses S. Grant NHS,MWR
VOYA,Voyageurs NP,MWR
WICA,Wind Cave NP,MWR
WICR,Wilson's Creek NB,MWR
WIHO,William Howard Taft NHS,MWR
ANTI,Antietam NB,NCR
ARHO,"Arlington House, The Robert E. Lee Mem",NCR
CATO,Catoctin Mountain Park,NCR
CHOH,Chesapeake & Ohio Canal NHP,NCR
CLBA,Clara Barton NHS,NCR
FOTH,Ford's Theatre NHS,NCR
FOWA,Fort Washington Park,NCR
FRDO,Frederick Douglass NHS,NCR
GREE,Greenbelt Park,NCR
GWMP,George Washington Memorial Parkway,NCR
HAFE,Harpers Ferry NHP,NCR
JEFM,Thomas Jefferson Memorial,NCR
LINC,Lincoln Memorial,NCR
MANA,Manassas NBP,NCR
MONO,Monocacy NB,NCR
PAAV,Pennsylvania Avenue NHS,NCR
PISC,Piscataway Park,NCR
PRWI,Prince William Forest Park,NCR
ROCR,Rock Creek Park,NCR
WASH,Washington Monument,NCR
WOTR,Wolf Trap Farm Park for the Performing Arts,NCR
BLRI,Blue Ridge Parkway,NER
ACAD,Acadia NP,NER
ADAM,Adams National Historical Park,NER
ALPO,Allegheny Portage Railroad NHS,NER
APCO,Appomattox Court House NHP,NER
APPA,Appalachian NST,NER
ASIS,Assateague Island NS,NER
BLUE,Bluestone NSR,NER
BOAF,Boston African-American NHS,NER
BOHA,Boston Harbor Islands NRA,NER
BOST,Boston NHP,NER
BOWA,Booker T. Washington NM,NER
CACL,Castle Clinton NM,NER
CACO,Cape Cod NS,NER
COLO,Colonial NHP,NER
DEWA,Delaware Water Gap NRA,NER
EDAL,Edgar Allan Poe NHS,NER
EDIS,Edison NHS,NER
EISE,Eisenhower NHS,NER
ELRO,Eleanor Roosevelt NHS,NER
FEHA,Federal Hall NMem,NER
FIIS,Fire Island NS,NER
FOMC,Fort McHenry NM & Historic Shrine,NER
FONE,Fort Necessity NB,NER
FOST,Fort Stanwix NM,NER
FRHI,Friendship Hill National Historic Site,NER
FRLA,Frederick Law Olmsted National Historic Site,NER
FRSP,Fredericksburg & Spotsylvania NMP,NER
GARI,Gauley River NRA,NER
GATE,Gateway National Recreation Area,NER
GEGR,General Grant NMem,NER
GETT,Gettysburg NMP,NER
GEWA,George Washington Birthplace NM,NER
HAGR,Hamilton Grange NMem,NER
HAMP,Hampton NHS,NER
HOFU,Hopewell Furnace NHS,NER
INDE,Independence NHP,NER
JOFI,John Fitzgerald Kennedy NHS,NER
JOFL,Johnstown Flood Nmem,NER
LONG,Longfellow National Historic Site,NER
LOWE,Lowell NHP,NER
MABI,Marsh-Billings-Rockefeller NHP,NER
MAVA,Martin Van Buren NHS,NER
MAWA,Maggie L Walker NHS,NER
MIMA,Minute Man NHP,NER
MORR,Morristown NHP,NER
NEBE,New Bedford Whaling NHP,NER
NERI,New River Gorge NR,NER
PETE,Petersburg NB,NER
RICH,Richmond NBP,NER
ROWI,Roger Williams Nmem,NER
SACR,Saint Croix Island International Historic Site,NER
SAGA,Saint-Gaudens NHS,NER
SAHI,Sagamore Hill NHS,NER
SAIR,Saugus Iron Works NHS,NER
SAMA,Salem Maritime NHS,NER
SAPA,Saint Paul's Church NHS,NER
SARA,Saratoga NHP,NER
SHEN,Shenandoah NP,NER
SPAR,Springfield Armory NHS,NER
STEA,Steamtown NHS,NER
STLI,Statue of Liberty NM,NER
THKO,Thaddeus Kosciuszko NMem,NER
THRB,Theodore Roosevelt Birthplace NHS,NER
THRI,Theodore Roosevelt Inaugural NHS,NER
THST,Thomas Stone NHS,NER
UPDE,Upper Delaware Scenic and Recreational River,NER
VAFO,Valley Forge NHP,NER
VAMA,Vanderbilt Mansion NHS,NER
WEFA,Weir Farm NHS,NER
WORI,Women's Rights NHP,NER
SAJU,San Juan NHS,PRVI
VIIS,Virgin Islands NP,PRVI
AMME,American Memorial Park,PWR
BIHO,Big Hole NB,PWR
CABR,Cabrillo NM,PWR
CHIS,Channel Islands NP,PWR
CIRO,City of Rocks N RES,PWR
CRLA,Crater Lake NP,PWR
CRMO,Craters of the Moon NM,PWR
DEPO,Devils Postpile National Monument,PWR
DEVA,Death Valley NP,PWR
EBLA,Ebey's Landing NH Reserve,PWR
EUON,Eugene O'Neill NHS,PWR
FOPO,Fort Point NHS,PWR
FOVA,Fort Vancouver NHS,PWR
GOGA,Golden Gate NRA,PWR
GRBA,Great Basin NP,PWR
HAFO,Hagerman Fossil Beds NM,PWR
JODA,John Day Fossil Beds NM,PWR
JOMU,John Muir NHS,PWR
JOTR,Joshua Tree NP,PWR
KICA,Kings Canyon NP,PWR
KLSE,Klondike Gold Rush NHP--Seattle Unit,PWR
LABE,Lava Beds NM,PWR
LACH,Lake Chelan NRA,PWR
LAKE,Lake Mead NRA,PWR
LAVO,Lassen Volcanic NP,PWR
MANZ,Manzanar NHS,PWR
MOJA,Mojave National Preserve,PWR
MORA,Mount Rainier NP,PWR
