UNIT_CODE,UNIT_NAME,STATE,REGION,DEM_Name,LC_Name,UNIT_TYPE,PARKNAME,Lat,Long
DENA,Denali National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Denali,63.477507,-152.203629
WRST,Wrangell-St. Elias National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Wrangell - St Elias,61.069973,-142.434201
WRST,Wrangell-St. Elias National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Wrangell - St Elias,61.925999,-142.836262
GLBA,Glacier Bay National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Glacier Bay,58.791402,-136.810818
GLBA,Glacier Bay National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Glacier Bay,59.131341,-138.351429
KATM,Katmai National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Katmai,58.562382,-154.978641
KEFJ,Kenai Fjords National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Kenai Fjords,59.816149,-150.108107
LACL,Lake Clark National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Lake Clark,60.601497,-154.129751
NOAT,Noatak National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Noatak,68.004212,-159.832717
BELA,Bering Land Bridge National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Bering Land Bridge,65.954628,-164.403866
ALAG,Alagnak Wild River,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,Wild River,Alagnak,59.003066,-156.111907
SITK,Sitka National Historical Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Historical Park,Sitka,57.047181,-135.315671
ANIA,Aniakchak National Monument,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Monument,Aniakchak,56.895443,-158.117809
CAKR,Cape Krusenstern National Monument,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Monument,Cape Krusenstern,67.411879,-163.50199
GAAR,Gates of the Arctic National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Gates of the Arctic,67.796807,-153.30978
DENA,Denali National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Denali,63.341108,-150.734146
KATM,Katmai National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Katmai,59.106646,-155.320051
KOVA,Kobuk Valley National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Kobuk Valley,67.353365,-159.198885
GAAR,Gates of the Arctic National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Gates of the Arctic,66.779533,-153.226554
ANIA,Aniakchak National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Aniakchak,56.865032,-157.720824
YUCH,Yukon-Charley Rivers National Preserve,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Preserve,Yukon - Charley Rivers,65.089786,-142.798428
LACL,Lake Clark National Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Park,Lake Clark,60.547142,-153.248668
KLGO,Klondike Gold Rush National Historical Park,AK,AKR,AKR_DEM.TIF,AKR_LC_2016.TIF,National Historical Park,Klondike Gold Rush,59.631587,-135.261768
LIBI,Little Bighorn Battlefield National Monument,MT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Little Bighorn Battlefield,45.565054,-107.418355
CAVO,Capulin Volcano National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Capulin Volcano,36.781711,-103.971043
FOBO,Fort Bowie National Historic Site,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Fort Bowie,32.149259,-109.451132
GICL,Gila Cliff Dwellings National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Gila Cliff Dwellings,33.227152,-108.270671
TUZI,Tuzigoot National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Tuzigoot,34.772963,-112.027907
YUHO,Yucca House National Monument,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Yucca House,37.247789,-108.686127
TICA,Timpanogos Cave National Monument,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Timpanogos Cave,40.440397,-111.709394
TONT,Tonto National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Tonto,33.648429,-111.113563
SUCR,Sunset Crater Volcano National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Sunset Crater Volcano,35.371142,-111.510376
PISP,Pipe Spring National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Pipe Spring,36.862827,-112.739857
ELMO,El Morro National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,El Morro,35.038959,-108.346398
FOBU,Fossil Butte National Monument,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Fossil Butte,41.856343,-110.762471
HOVE,Hovenweep National Monument,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Hovenweep,37.383539,-109.004823
FOUN,Fort Union National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Fort Union,35.907006,-105.014519
BRCA,Bryce Canyon National Park,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Bryce Canyon,37.583898,-112.182711
JODR,"John D. Rockefeller, Jr., Memorial Parkway",WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Parkway,John D Rockefeller Jr,44.088698,-110.728042
YELL,Yellowstone National Park,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Yellowstone,44.596445,-110.547196
HUTR,Hubbell Trading Post National Historic Site,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Hubbell Trading Post,35.707273,-109.559952
CHAM,Chamizal National Memorial,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Memorial,Chamizal,31.767296,-106.454401
NAVA,Navajo National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Navajo,36.685491,-110.55043
CANY,Canyonlands National Park,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Canyonlands,38.245142,-109.880112
RABR,Rainbow Bridge National Monument,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Rainbow Bridge,37.077888,-110.96551
NABR,Natural Bridges National Monument,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Natural Bridges,37.604528,-110.002245
PIMA,Hohokam Pima National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Hohokam Pima,33.187138,-111.919274
GUMO,Guadalupe Mountains National Park,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Guadalupe Mountains,31.92301,-104.885535
CORO,Coronado National Memorial,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Memorial,Coronado,31.349003,-110.256157
GOSP,Golden Spike National Historic Site,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Golden Spike,41.630996,-112.524289
MOCA,Montezuma Castle National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Montezuma Castle,34.611021,-111.814793
